iso_code,family,language_name
mfs,sign1238,Mexican Sign Language
pbe,otom1299,Mezontla Popoloca
ote,otom1299,Mezquital Otomi
zam,otom1299,Cuixtla-Xitla Zapotec
mia,algi1248,Miami
xmi,unat1236,Miarrã
crg,algi1248,Heritage Michif
ncl,utoa1244,Michoacán Nahuatl
mmc,otom1299,Michoacán Mazahua
mik,musk1252,Mikasuki
mic,algi1248,Mi'kmaq
iml,coos1248,Miluk
hto,huit1251,Minica Huitoto
mmv,tuca1253,Miriti
miq,misu1242,Mískito
vmm,otom1299,Mitlatongo Mixtec
zaw,otom1299,Mitla Zapotec
mix,otom1299,Mixtepec Mixtec
zpm,otom1299,Mixtepec Zapotec
mod,pidg1258,Mobilian
mhc,maya1287,Mocho
omc,,Mochica
moc,guai1249,Mocoví
mov,coch1271,Mohave
moh,iroq1247,Mohawk
mof,algi1248,Mohegan-Montauk-Narragansett
mbe,,Molale
mom,otom1299,Mangue
mnr,utoa1244,Mono (USA)
moe,algi1248,Montagnais
crm,algi1248,Moose Cree
mop,maya1287,Mopan
nhm,utoa1244,Morelos Nahuatl
xmo,unat1236,Morerebi
cas,,Mosetén-Chimané
mzp,,Movima
bmr,bora1262,Muinane
myu,tupi1275,Mundurukú
myr,,Muniche
umu,algi1248,Munsee
huu,huit1251,Murui Huitoto
css,miwo1274,Mutsun
mbj,nada1235,Nadëb
nnt,algi1248,Nanticoke
cox,araw1281,Nanti
qvo,quec1387,Napo Lowland Quechua
nsk,algi1248,Naskapi
nts,book1242,Natagaimas
ncz,,Natchez
nav,atha1245,Navajo
nwa,algi1248,Nawathinehena
njt,pidg1258,Ndyuka-Trio Pidgin
djk,indo1319,Aukan
dcr,indo1319,Virgin Islands Dutch Creole
nez,saha1239,Nez Perce
gym,chib1249,Ngäbere
yrl,tupi1275,Nhengatu
ncs,sign1238,Nicaraguan Sign Language
bzk,indo1319,Nicaragua Creole English
shb,yano1268,Ninam
nsz,maid1262,Nisenan
ncg,tsim1258,Nisga'a
cag,mata1289,Nivaclé
nom,book1242,Nocamán
not,araw1281,Nomatsiguenga
noj,huit1251,Nonuya
nok,sali1255,Nooksack
noo,book1242,Nootka
cya,otom1299,Nopala Chatino
twf,kiow1265,Taos Northern Tiwa
crl,algi1248,Northern East Cree
hdn,haid1248,Northern Haida
neq,mixe1284,North Central Mixe
ttm,atha1245,Northern Tutchone
scs,atha1245,North Slavey
esi,eski1264,North Alaskan Inupiatun
esk,eski1264,Seward Alaska Inupiatun
mjd,maid1262,Northwest Maidu
nmu,maid1262,Northeast Maidu
pao,utoa1244,Northern Paiute
thh,utoa1244,Northern Tarahumara
ncj,utoa1244,Northern Puebla Nahuatl
